YEAR,MAKE,MODEL,VEHICLE_CLASS,ENGINE_SIZE,CYLINDERS,TRANSMISSION,FUEL_CONSUMPTION_1,FUEL_CONSUMPTION_2,FUEL_CONSUMPTION_3,FUEL_CONSUMPTION_4,CO2_EMISSIONS
1995,ACURA,SUBCOMPACT,1.8,4,A4,X,11.6,8.3,10.1,28,232
1995,ACURA,SUBCOMPACT,1.8,4,M5,X,11,8.3,9.8,29,225
1995,ACURA,SUBCOMPACT,1.8,4,M5,Z,10.8,8.3,9.7,29,223
1995,ACURA,COMPACT,3.2,6,A4,Z,14.2,10.5,12.5,23,288
1995,ACURA,COMPACT,3.2,6,A4,Z,14.6,11,13,22,299
1995,ACURA,COMPACT,3.2,6,M6,Z,15,9.9,12.7,22,292
1995,ACURA,TWO-SEATER,3,6,A4,Z,15.1,10.9,13.2,21,304
1995,ACURA,TWO-SEATER,3,6,M5,Z,14.5,10.6,12.7,22,292
1995,ALFA ROMEO,COMPACT,3,6,A4,Z,17.4,11.8,14.9,19,343
1995,ALFA ROMEO,COMPACT,3,6,M5,Z,15.4,10.6,13.3,21,306
1995,AUDI,COMPACT,2.8,6,A4,Z,14.5,9.7,12.3,23,283
1995,AUDI,COMPACT,2.8,6,M5,Z,13.6,9.7,11.9,24,274
1995,AUDI,COMPACT,2.8,6,M5,Z,13.9,10.1,12.2,23,281
1995,AUDI,COMPACT,2.8,6,A4,Z,14.2,10.9,12.7,22,292
1995,AUDI,COMPACT,2.8,6,A4,Z,14.3,11.4,13,22,299
1995,AUDI,STATION WAGON - SMALL,2.8,6,A4,Z,14.3,11.4,13,22,299
1995,AUDI,STATION WAGON - SMALL,2.8,6,A4,Z,14.2,11,12.7,22,292
1995,AUDI,MINICOMPACT,2.8,6,A4,Z,14.6,9.9,12.5,23,288
1995,AUDI,COMPACT,2.2,5,M5,Z,14.9,11,13.1,22,301
1995,BENTLEY,MID-SIZE,6.7,8,A4,Z,24.7,17.3,21.3,13,490
1995,BENTLEY,MID-SIZE,6.7,8,A4,Z,24.7,17.3,21.3,13,490
1995,BENTLEY,COMPACT,6.7,8,A4,Z,24.9,17.3,21.5,13,495
1995,BENTLEY,COMPACT,6.7,8,A4,Z,24.9,16,20.9,14,481
1995,BENTLEY,COMPACT,6.7,8,A4,Z,25.1,17,21.5,13,495
1995,BENTLEY,FULL-SIZE,6.7,8,A4,Z,25.3,17.8,21.9,13,504
1995,BENTLEY,MID-SIZE,6.7,8,A4,Z,24.9,16,20.9,14,481
1995,BENTLEY,MID-SIZE,6.7,8,A4,Z,24.9,16,20.9,14,481
1995,BMW,MINICOMPACT,1.8,4,A4,Z,12.8,9,11.1,25,255
1995,BMW,MINICOMPACT,1.8,4,M5,Z,12.2,8.2,10.4,27,239
1995,BMW,SUBCOMPACT,1.8,4,A4,Z,12.8,9,11.1,25,255
1995,BMW,SUBCOMPACT,1.8,4,M5,Z,12,8.1,10.3,27,237
1995,BMW,COMPACT,1.8,4,A4,Z,12.8,8.9,11,26,253
1995,BMW,COMPACT,1.8,4,M5,Z,12,8.1,10.3,27,237
1995,BMW,SUBCOMPACT,2,6,A5,Z,13.3,9,11.4,25,262
1995,BMW,SUBCOMPACT,2,6,M5,Z,13.3,9,11.4,25,262
1995,BMW,MINICOMPACT,2.5,6,A4,Z,13.4,9.3,11.5,25,265
1995,BMW,MINICOMPACT,2.5,6,M5,Z,13.7,9.1,11.7,24,269
1995,BMW,SUBCOMPACT,2.5,6,A4,Z,13.4,9.3,11.5,25,265
1995,BMW,SUBCOMPACT,2.5,6,M5,Z,13.7,9.1,11.7,24,269
1995,BMW,COMPACT,2.5,6,A4,Z,14.3,10.1,12.4,23,285
1995,BMW,COMPACT,2.5,6,M5,Z,13.7,9.1,11.7,24,269
1995,BMW,COMPACT,3,8,A5,Z,16,10.1,13.3,21,306
1995,BMW,COMPACT,3,8,M5,Z,16.6,10.7,14,20,322
1995,BMW,STATION WAGON - SMALL,3,8,A5,Z,16,10.1,13.3,21,306
1995,BMW,COMPACT,4,8,A5,Z,15.2,10.1,12.9,22,297
1995,BMW,COMPACT,4,8,M6,Z,18,11,14.8,19,340
1995,BMW,MID-SIZE,4,8,A5,Z,16.1,10.9,13.7,21,315
1995,BMW,MID-SIZE,4,8,A5,Z,16.1,10.9,13.7,21,315
1995,BMW,MID-SIZE,5.4,12,A5,Z,18.9,12.7,16.1,18,370
1995,BMW,SUBCOMPACT,4,8,A5,Z,16.1,10.9,13.7,21,315
1995,BMW,SUBCOMPACT,5.4,12,A5,Z,18.9,12.7,16.1,18,370
1995,BUICK,MID-SIZE,2.2,4,A3,X,11.3,8.2,9.9,29,228
1995,BUICK,MID-SIZE,3.1,6,A4,X,14.6,9.3,12.2,23,281
1995,BUICK,STATION WAGON - MID-SIZE,2.2,4,A3,X,12.3,8.7,10.7,26,246
1995,BUICK,STATION WAGON - MID-SIZE,3.1,6,A4,X,14.6,9.3,12.2,23,281
1995,BUICK,FULL-SIZE,3.8,6,A4,X,14.5,9.3,12.1,23,278
1995,BUICK,FULL-SIZE,3.8,6,A4,X,14.5,9.3,12.1,23,278
1995,BUICK,FULL-SIZE,3.8,6,A4,Z,16.1,10.4,13.5,21,311
1995,BUICK,MID-SIZE,3.1,6,A4,X,14.6,9.3,12.2,23,281
1995,BUICK,MID-SIZE,3.8,6,A4,X,14.5,9.3,12.1,23,278
1995,BUICK,MID-SIZE,3.8,6,A4,Z,16.1,10.4,13.5,21,311
1995,BUICK,FULL-SIZE,5.7,8,A4,Z,15.6,10.2,13.2,21,304
1995,BUICK,STATION WAGON - MID-SIZE,5.7,8,A4,Z,15.6,10.2,13.2,21,304
1995,BUICK,COMPACT,2.3,4,A4,X,12.9,8.8,11,26,253
1995,BUICK,COMPACT,3.1,6,A4,X,14.2,9.8,12.2,23,281
1995,CADILLAC,FULL-SIZE,4.6,8,A4,Z,16,10.3,13.4,21,308
1995,CADILLAC,FULL-SIZE,4.9,8,A4,Z,17.4,10.5,14.3,20,329
1995,CADILLAC,MID-SIZE,4.6,8,A4,Z,16,10.3,13.4,21,308
1995,CADILLAC,MID-SIZE,4.6,8,A4,Z,18.8,12.3,15.9,18,366
1995,CADILLAC,FULL-SIZE,5.7,8,A4,Z,15.6,10.2,13.2,21,304
1995,CADILLAC,FULL-SIZE,4.6,8,A4,Z,16,10.3,13.4,21,308
1995,CADILLAC,FULL-SIZE,4.6,8,A4,Z,18.8,12.3,15.9,18,366
1995,CHEVROLET,VAN - CARGO,4.3,6,A4,Z,16.8,12.2,14.7,19,338
1995,CHEVROLET,VAN - CARGO,4.3,6,A4,Z,17.2,12.6,15.1,19,347
1995,CHEVROLET,VAN - PASSENGER,4.3,6,A4,Z,17,12.6,15,19,345
1995,CHEVROLET,VAN - PASSENGER,4.3,6,A4,Z,17.9,13.5,15.9,18,366
1995,CHEVROLET,COMPACT,2.2,4,A3,X,11.3,8.2,9.9,29,228
1995,CHEVROLET,COMPACT,2.2,4,M5,X,11.5,7.3,9.6,29,221
1995,CHEVROLET,COMPACT,3.1,6,A4,X,12.9,8.8,11,26,253
1995,CHEVROLET,PICKUP TRUCK - STANDARD,4.3,6,A4,X,15.9,11.5,13.9,20,320
1995,CHEVROLET,PICKUP TRUCK - STANDARD,4.3,6,M5,X,15.6,11.2,13.6,21,313
1995,CHEVROLET,PICKUP TRUCK - STANDARD,4.3,6,M5,X,16.1,11.8,14.1,20,324
1995,CHEVROLET,PICKUP TRUCK - STANDARD,5,8,A4,X,17.8,13.1,15.7,18,361
1995,CHEVROLET,PICKUP TRUCK - STANDARD,5,8,M5,X,20.4,14.5,17.8,16,409
1995,CHEVROLET,PICKUP TRUCK - STANDARD,5.7,8,A4,X,18.8,14.2,16.7,17,384
1995,CHEVROLET,PICKUP TRUCK - STANDARD,5.7,8,M5,X,21.9,15,18.8,15,432
